permalink,title,released
"/project/","Final Project",false
"/labs/projectlab2/","Lab 9: Project Team Meeting 2",false
"/labs/projectlab1/","Lab 8: Project Team Meeting 1",false
"/labs/lab7/","Lab 7: Raspberry Pi, Interrupted",false
"/labs/lab6/","Lab 6: Drawing into the Framebuffer",false
"/lectures/Sound/","Sound, Analog, and Music",false
"/lectures/PeterSean/","Guest",false
"/lectures/Wrap/","Wrap or There and Back Again",false
"/lectures/Arithmetic/","Computer Arithmetic and Making Code Fast",false
"/lectures/Sensors/","Sensors",false
"/lectures/MakingEngineering/","Engineering an Art Project",false
"/lectures/AnnaLiana/","Guest",false
"/lectures/Chris/","Chris Gregg's Projects",false
"/lectures/ArithmeticAndSensors/","Sensors and Arithmetic",false
"/lectures/Interrupts2/","Interrupts, cont'd",false
"/assignments/assign7/","Assignment 7: System Monitor with Interrupts",false
"/assignments/assign6/","Assignment 6: Graphics Library and Console",false
